code,commune,prefecture_id,prefecture,region
0341,Blitta 1,15.0,Blitta,Centrale
0342,Blitta 2,15.0,Blitta,Centrale
0343,Blitta 3,15.0,Blitta,Centrale
0331,Mô 1,19.0,Mô,Centrale
0332,Mô 2,19.0,Mô,Centrale
0351,Sotouboua 1,16.0,Sotouboua,Centrale
0352,Sotouboua 2,16.0,Sotouboua,Centrale
0353,Sotouboua 3,16.0,Sotouboua,Centrale
0321,Tchamba 1,17.0,Tchamba,Centrale
0322,Tchamba 2,17.0,Tchamba,Centrale
0323,Tchamba 3,17.0,Tchamba,Centrale
0311,Tchaoudjo 1,18.0,Tchaoudjo,Centrale
0312,Tchaoudjo 2,18.0,Tchaoudjo,Centrale
0313,Tchaoudjo 3,18.0,Tchaoudjo,Centrale
0314,Tchaoudjo 4,18.0,Tchaoudjo,Centrale
0271,Assoli 1,8.0,Assoli,De La Kara
0272,Assoli 2,8.0,Assoli,De La Kara
0273,Assoli 3,8.0,Assoli,De La Kara
0221,Bassar 1,9.0,Bassar,De La Kara
0222,Bassar 2,9.0,Bassar,De La Kara
0223,Bassar 3,9.0,Bassar,De La Kara
0224,Bassar 4,9.0,Bassar,De La Kara
0251,Binah 1,10.0,Binah,De La Kara
0252,Binah 2,10.0,Binah,De La Kara
0231,Dankpen 1,11.0,Dankpen,De La Kara
0232,Dankpen 2,11.0,Dankpen,De La Kara
0233,Dankpen 3,11.0,Dankpen,De La Kara
0261,Doufelgou 1,12.0,Doufelgou,De La Kara
0262,Doufelgou 2,12.0,Doufelgou,De La Kara
0263,Doufelgou 3,12.0,Doufelgou,De La Kara
0241,Kozah 1,14.0,Kozah,De La Kara
0242,Kozah 2,14.0,Kozah,De La Kara
0243,Kozah 3,14.0,Kozah,De La Kara
0244,Kozah 4,14.0,Kozah,De La Kara
0211,Kéran 1,13.0,Kéran,De La Kara
0212,Kéran 2,13.0,Kéran,De La Kara
0213,Kéran 3,13.0,Kéran,De La Kara
04121,Agou 1,20.0,Agou,Des Plateaux
04122,Agou 2,20.0,Agou,Des Plateaux
04101,Akébou 1,21.0,Akébou,Des Plateaux
04102,Akébou 2,21.0,Akébou,Des Plateaux
0451,Amou 1,22.0,Amou,Des Plateaux
0452,Amou 2,22.0,Amou,Des Plateaux
0453,Amou 3,22.0,Amou,Des Plateaux
0491,Anié 1,23.0,Anié,Des Plateaux
0492,Anié 2,23.0,Anié,Des Plateaux
0471,Danyi 1,24.0,Danyi,Des Plateaux
0472,Danyi 2,24.0,Danyi,Des Plateaux
0461,Est-Mono 1,25.0,Est-Mono,Des Plateaux
0462,Est-Mono 2,25.0,Est-Mono,Des Plateaux
0463,Est-Mono 3,25.0,Est-Mono,Des Plateaux
0421,Haho 1,26.0,Haho,Des Plateaux
0422,Haho 2,26.0,Haho,Des Plateaux
0423,Haho 3,26.0,Haho,Des Plateaux
0424,Haho 4,26.0,Haho,Des Plateaux
0431,Kloto 1,27.0,Kloto,Des Plateaux
0432,Kloto 2,27.0,Kloto,Des Plateaux
0433,Kloto 3,27.0,Kloto,Des Plateaux
